VendorStockCode,RRPEx,DealerEx
000832,5500.0,4888.89
000870,5800.0,5155.56
001287,3740.0,3324.45
002520,5700.0,5066.67
002773,2290.0,2035.56
002778,1975.0,1755.56
002811,2200.0,1955.56
002842,1975.0,1755.56
002846,2290.0,2035.56
002864,2290.0,2035.56
002869,1975.0,1755.56
003218,1790.0,1591.12
003235,4563.64,4056.57
003320,3670.0,3262.23
003410,2290.0,2035.56
003413,1975.0,1755.56
003522,9130.0,8115.56
003581,2400.0,2133.34
003751,5990.0,5324.45
003757,6520.0,5795.56
003957,4700.0,4177.78
004268,3740.0,3324.45
004352,5990.91,5325.26
004353,5990.91,5325.26
004521,3177.27,2824.24
004670,780.0,693.34
004721,2200.0,1955.56
004769,1525.0,1355.56
004840,6520.0,5795.56
004861,331.82,294.96
004864,331.82,294.96
004872,4363.64,3878.79
004990,2400.0,2133.34
005062,1850.0,1644.45
005081,1718.18,1527.27
005100,3940.0,3502.23
005109,4700.0,4177.78
005115,5990.91,5325.26
005117,5990.0,5324.45
005164,1790.0,1591.12
005251,2550.0,2266.67
005262,1718.18,1527.27
005272,5990.0,5324.45
005308,1830.0,1626.67
005310,4110.0,3653.34
005396,3910.0,3475.56
005437,2200.0,1955.56
005440,1790.0,1591.12
005443,2610.0,2320.0
005448,2550.0,2266.67
005742,900.0,800.0
005821,2600.0,2311.12
005822,2600.0,2311.12
005823,863.64,767.68
005829,2600.0,2311.12
005836,2600.0,2311.12
005963,1980.0,1760.0
005990,1525.0,1355.56
005997,900.0,800.0
006037,1525.0,1355.56
006054,2600.0,2311.12
006055,2600.0,2311.12
006061,3740.0,3324.45
006064,3740.0,3324.45
006076,2550.0,2266.67
006084,3545.45,3151.52
006131,3350.0,2977.78
006150,5250.0,4666.67
006230,2600.0,2311.12
006241,2550.0,2266.67
006246,3350.0,2977.78
006291,863.64,767.68
006323,1750.0,1555.56
006324,900.0,800.0
006369,6520.0,5795.56
006377,863.64,767.68
006394,5200.0,4622.23
006425,1860.0,1653.34
006429,1860.0,1653.34
006438,4150.0,3688.89
006440,5000.0,4444.45
006444,1700.0,1511.12
006448,900.0,800.0
006456,2550.0,2266.67
006458,3350.0,2977.78
006466,3670.0,3262.23
006490,3350.0,2977.78
006498,5900.0,5244.45
006504,1750.0,1555.56
006519,4150.0,3688.89
006538,2490.0,2213.34
006540,2490.0,2213.34
006542,2490.0,2213.34
006544,2490.0,2213.34
006546,5990.91,5325.26
006547,5990.91,5325.26
006548,5990.91,5325.26
006549,5990.0,5324.45
006550,5990.91,5325.26
006551,5990.91,5325.26
006552,5990.91,5325.26
006553,5990.0,5324.45
006554,5990.91,5325.26
006555,5990.0,5324.45
006588,863.64,767.68
006593,5990.91,5325.26
006601,5990.91,5325.26
006604,5990.91,5325.26
006605,5990.91,5325.26
006606,5990.91,5325.26
006616,3650.0,3244.45
006619,3350.0,2977.78
006634,3350.0,2977.78
006644,3177.27,2824.25
006662,327.27,290.92
006663,336.36,298.99
006664,350.0,311.12
006672,574.55,510.72
006679,863.64,767.68
006687,5990.91,5325.26
006690,3450.0,3066.67
006696,3350.0,2977.78
006728,5990.0,5324.45
006736,900.0,800.0
006807,900.0,800.0
006831,1525.0,1355.56
006836,3350.0,2977.78
006860,3630.0,3226.67
006887,1860.0,1653.34
006888,1860.0,1653.34
006891,4700.0,4177.78
006897,3950.0,3511.12
006900,3950.0,3511.12
006902,3350.0,2977.78
006904,5990.91,5325.26
006911,3600.0,3200.0
006916,4150.0,3688.89
006935,3350.0,2977.78
006954,6520.0,5795.56
006990,900.0,800.0
006998,3350.0,2977.78
006999,3350.0,2977.78
007016,3350.0,2977.78
007022,2550.0,2266.67
007035,1750.0,1555.56
007038,5990.91,5325.26
007047,2600.0,2311.12
007050,2440.0,2168.89
007091,350.0,311.12
007092,372.73,331.32
007093,377.27,335.36
007111,5990.91,5325.26
007114,5990.91,5325.26
007124,2550.0,2266.67
007136,3950.0,3511.12
007151,1040.0,955.68
007152,1250.0,1148.65
007157,3650.0,3244.45
007168,1145.0,1052.16
007170,1040.0,955.68
007172,1145.0,1052.16
007176,1355.0,1245.14
007223,863.64,767.68
007231,3350.0,2977.78
007243,5990.0,5324.45
007246,3350.0,2977.78
007247,3350.0,2977.78
007249,3350.0,2977.78
007253,825.0,733.34
007259,2620.0,1893.0
007276,400.0,355.56
007287,4150.0,3688.89
007291,2400.0,2133.34
007293,2550.0,2266.67
007310,5990.0,5324.45
007358,3350.0,2977.78
007378,3000.0,2666.67
007381,3000.0,2666.67
007388,775.0,688.89
007389,925.0,822.23
007390,775.0,688.89
007392,925.0,822.23
007395,3650.0,3244.45
007422,427.27,379.8
007423,431.82,383.85
007440,3350.0,2977.78
007442,925.0,822.23
007443,925.0,822.23
007451,280.0,248.89
007503,3950.0,3511.12
007506,3950.0,3511.12
007516,3950.0,3511.12
007518,4045.45,3595.96
007546,3177.27,2824.25
007547,5726.36,5090.1
007556,5726.36,5090.1
007557,5999.09,5332.53
007558,5726.36,5090.1
007559,4999.09,4443.63
007562,4090.0,3635.56
007580,4790.0,4257.78
007582,3670.0,3262.23
007605,900.0,800.0
007613,900.0,800.0
007615,400.0,355.56
007625,3910.0,3475.56
007645,5990.0,5324.45
007651,427.27,379.8
007668,675.0,600.0
007677,1395.45,1240.4
007702,280.0,248.89
007706,3240.0,2880.0
007717,4160.0,3697.78
007720,3240.0,2880.0
007731,415.0,368.89
007737,6520.0,5795.56
007765,1665.0,1480.0
007772,677.27,602.03
007773,677.27,602.03
007774,677.27,602.03
007775,677.27,602.03
007776,677.27,602.03
007777,677.27,602.03
007778,677.27,602.03
007779,404.55,359.6
007780,500.0,444.45
007781,540.91,480.82
007782,450.0,400.0
007783,427.27,379.8
007784,809.09,719.19
007785,381.82,339.4
007789,1395.45,1240.4
007790,4160.0,3697.78
007835,5453.64,4847.68
007840,3950.0,3511.12
007852,3670.0,3262.23
007872,2600.0,2311.12
007879,2400.0,2133.34
007884,2600.0,1878.0
007885,2600.0,2311.12
007887,863.64,767.68
007888,863.64,767.68
007891,863.64,767.68
007895,3950.0,3511.12
007897,3950.0,3511.12
007901,5990.0,5324.45
007936,4045.45,3595.96
007938,431.82,383.85
007942,3950.0,3511.12
007951,431.82,383.85
007953,3950.0,3511.11
008001,400.0,355.56
008002,540.91,480.82
008003,540.91,480.82
008004,427.27,379.8
008005,522.73,464.65
008007,359.09,319.19
008008,540.91,480.82
008009,540.91,480.82
008022,863.64,767.68
008032,2600.0,2311.12
008047,900.0,800.0
008054,400.0,355.56
008057,863.64,767.68
008058,863.64,767.68
008060,863.64,767.68
008061,863.64,767.68
008062,863.64,767.68
008071,2290.0,2035.56
008073,1975.0,1755.56
008076,2490.0,2213.34
008078,2490.0,2213.34
008080,2490.0,2213.34
008122,2999.09,2665.86
008124,5999.09,5332.53
008125,5999.09,5332.53
008133,4726.36,4201.22
008134,4726.36,4201.22
008158,5990.91,5325.26
008170,5990.0,5324.45
008172,3600.0,3200.0
008189,1995.45,1773.74
008190,2450.0,2177.78
008196,2359.09,2096.97
008197,2500.0,2222.23
008211,365.0,324.45
008224,2950.0,2622.23
008225,2450.0,2177.78
008235,2177.27,1935.36
008237,2950.0,2622.23
008253,790.0,702.23
008254,890.0,791.12
008255,790.0,702.23
008256,890.0,791.12
008257,790.0,702.23
008258,890.0,791.12
008259,420.0,373.34
008260,450.0,400.0
008261,990.0,880.0
008266,850.0,755.56
008289,3910.0,3475.56
008291,6520.0,5795.56
008293,3910.0,3475.56
008295,900.0,800.0
008297,4700.0,4177.78
008301,3650.0,3244.45
008303,2675.0,2377.78
008310,900.0,800.0
008312,900.0,800.0
008315,3350.0,2977.78
008317,900.0,800.0
008319,900.0,800.0
008321,900.0,800.0
008324,3950.0,3511.12
008334,3950.0,3511.12
008336,900.0,800.0
008338,900.0,800.0
008339,900.0,800.0
008345,900.0,800.0
008348,900.0,800.0
008350,900.0,800.0
008352,900.0,800.0
008355,1145.0,1052.16
008357,1460.0,1341.62
008366,900.0,800.0
008369,900.0,800.0
008370,900.0,800.0
008371,900.0,800.0
008377,900.0,800.0
008379,900.0,800.0
008382,900.0,800.0
008389,5450.0,4844.45
008391,427.27,379.8
008392,381.82,339.4
008397,900.0,800.0
008398,900.0,800.0
008403,900.0,800.0
008407,900.0,800.0
008412,5990.91,5325.26
008413,5990.91,5325.26
008414,5990.91,5325.26
008415,5990.91,5325.26
008425,1355.0,1245.14
008430,863.64,767.68
008431,863.64,624.75
008433,863.64,767.68
008438,4790.0,4257.78
008442,4790.0,4257.78
008444,5220.0,4640.0
008447,5990.91,5325.26
008448,3817.27,3393.14
008480,4045.45,3595.96
008481,4700.0,4177.78
008503,3545.45,3151.52
008505,874.0,776.89
008516,4995.45,4440.4
008518,2200.0,1955.56
008519,1790.0,1591.12
008525,900.0,800.0
008526,900.0,800.0
008527,900.0,800.0
008531,1727.27,1535.36
008539,2500.0,2222.23
008540,3300.0,2933.34
008541,6600.0,5866.67
008544,900.0,800.0
008546,900.0,800.0
008552,900.0,800.0
008555,900.0,800.0
008560,900.0,800.0
008564,1195.0,1062.23
008565,540.0,480.0
008571,2395.0,2128.89
008572,540.0,480.0
008573,2395.0,2128.89
008574,540.0,480.0
008575,1195.0,1062.23
008576,790.0,702.23
008578,1195.0,1062.23
008579,890.0,791.12
008580,1195.0,1062.23
008581,590.0,524.45
008583,1195.0,1062.23
008584,790.0,702.23
008585,2395.0,2128.89
008586,890.0,791.12
008587,2395.0,2128.89
008588,540.0,480.0
008589,863.64,767.68
008590,2600.0,2311.12
008608,445.45,395.96
008609,540.91,480.82
008612,540.91,480.82
008614,540.0,480.0
008615,540.0,480.0
008616,360.0,320.0
008618,5990.91,5325.26
008626,5726.36,5090.1
008629,2300.0,2044.45
008631,3350.0,2977.78
008635,1040.0,955.68
008636,1250.0,1148.65
008641,900.0,800.0
008644,900.0,800.0
008645,900.0,800.0
008646,900.0,800.0
008648,900.0,800.0
008649,900.0,800.0
008650,1139.09,1012.53
008651,574.55,510.72
008652,574.55,510.72
008653,574.55,510.72
008654,3900.0,3466.67
008655,574.55,510.72
008656,574.55,510.72
008657,574.55,510.72
008658,574.55,510.72
008659,574.55,510.72
008660,574.55,510.72
008661,574.55,510.72
008662,414.55,368.49
008663,574.55,510.72
008664,574.55,510.72
008665,574.55,510.72
008666,414.55,368.49
008667,574.55,510.72
008668,414.55,368.49
008669,574.55,510.72
008670,574.55,510.72
008671,574.55,510.72
008672,574.55,510.72
008675,1635.45,1453.74
008677,5990.91,5325.26
008678,5990.91,5325.26
008679,5990.91,5325.26
008681,5990.91,5325.26
008682,5990.91,5325.26
008683,5990.91,5325.26
008696,1635.45,1453.74
008720,3500.0,3111.12
008721,4000.0,3555.56
008745,5200.0,4622.22
008748,4045.45,3595.96
008750,750.0,666.67
008752,574.55,510.72
008753,574.55,510.72
008756,900.0,800.0
008757,900.0,800.0
008758,900.0,800.0
008762,900.0,800.0
008763,1040.0,955.68
008765,1250.0,1148.65
008773,874.0,776.89
008774,874.0,776.89
008775,874.0,776.89
008776,874.0,776.89
008777,874.0,776.89
008778,874.0,776.89
008779,874.0,776.89
008780,874.0,776.89
008781,874.0,776.89
008782,874.0,776.89
008783,874.0,776.89
008784,874.0,776.89
008785,874.0,776.89
008786,874.0,776.89
008792,900.0,800.0
008793,1750.0,1555.56
008794,900.0,800.0
008795,900.0,800.0
008796,3950.0,3511.12
008804,900.0,800.0
008805,900.0,800.0
008810,482.73,429.09
008811,482.73,429.09
008812,509.09,452.53
008813,5990.91,5325.26
008814,4045.45,3595.96
008819,5200.0,4622.23
008825,850.0,755.56
008826,850.0,755.56
008827,850.0,755.56
008832,900.0,800.0
008845,900.0,800.0
008857,4700.0,4177.78
008859,950.0,844.45
008860,950.0,844.45
008861,950.0,844.45
008862,950.0,844.45
008868,3950.0,3511.12
008869,3950.0,3511.12
008872,2100.0,1866.67
008873,2100.0,1866.67
008880,3950.0,3511.12
008881,3950.0,3511.12
008882,3950.0,3511.12
008883,950.0,844.45
008884,950.0,844.45
008886,950.0,844.45
008887,950.0,844.45
008895,5200.0,4622.23
008897,5200.0,4622.23
008899,2300.0,2044.45
008901,5200.0,4622.23
008909,2200.0,1955.56
008910,1790.0,1591.12
008912,1975.0,1755.56
008923,450.0,400.0
008926,950.0,844.45
008928,3350.0,2977.78
008930,900.0,800.0
008931,900.0,800.0
008937,450.0,400.0
008938,540.91,480.82
008974,4050.0,3600.0
008979,5990.91,5325.26
008982,3950.0,3511.12
008990,900.0,800.0
008994,900.0,800.0
008996,3350.0,2977.78
009002,1040.0,955.68
009003,1250.0,1148.65
009009,3000.0,2666.67
009022,3472.73,3086.87
009035,545.0,500.81
009036,3450.0,3066.67
009041,950.0,844.45
009042,950.0,844.45
009051,574.55,510.72
009053,900.0,800.0
009054,900.0,800.0
009055,1750.0,1555.56
009058,1040.0,955.68
009059,1250.0,1148.65
009062,4700.0,4177.78
009065,540.91,480.82
009066,540.91,480.82
009068,5990.91,5325.26
009073,863.64,767.68
009077,900.0,800.0
009079,1250.0,1148.65
009080,1250.0,1148.65
009091,3000.0,2666.67
009096,4000.0,3555.56
009105,900.0,800.0
009106,900.0,800.0
009108,450.0,400.0
009110,4045.45,3595.96
009115,2600.0,2311.12
009142,3950.0,3511.12
009148,950.0,844.45
009150,3950.0,3511.12
009152,417.27,370.92
009153,509.09,452.53
009154,509.09,452.53
009155,509.09,452.53
009156,509.09,452.53
009161,2240.0,1991.12
009167,3950.0,3511.12
009170,900.0,800.0
009171,2250.0,2000.0
009172,2250.0,2000.0
009176,3500.0,3111.12
009179,360.0,320.0
009182,900.0,800.0
009185,863.64,767.68
009187,863.64,767.68
009194,5990.91,5325.26
009197,5990.91,5325.26
009199,900.0,800.0
009201,2240.0,1991.12
009202,863.64,767.68
009205,5990.91,5325.26
009207,5726.36,5090.1
009208,5726.36,5090.1
009209,5453.64,4847.68
009245,3500.0,3111.12
009264,4700.0,4177.78
009269,445.45,395.96
009270,320.0,284.45
009271,509.09,452.53
009272,413.64,367.68
009273,1139.09,1012.53
009274,681.82,606.07
009275,1136.36,1010.1
009280,860.0,764.45
009281,860.0,764.45
009283,5990.91,5325.26
009285,6750.0,6000.0
009286,6750.0,6000.0
009287,5995.45,5329.29
009291,6750.0,6000.0
009301,1860.0,1653.34
009332,900.0,800.0
009333,900.0,800.0
009334,900.0,800.0
009338,900.0,650.0
009339,900.0,800.0
009340,2600.0,2311.12
009344,900.0,650.0
009351,2600.0,2311.12
009355,4200.0,3733.34
009360,4045.45,3595.96
009362,1980.0,1760.0
009364,1145.0,1052.16
009365,1355.0,1245.14
009369,2550.0,2266.67
009370,5990.91,5325.26
009395,509.09,452.53
009401,1665.0,1480.0
009492,3362.73,2989.09
009497,4000.0,3555.56
009499,900.0,800.0
009500,875.0,777.78
009524,2013.64,1789.9
009525,2854.55,2537.38
009543,900.0,800.0
009544,3350.0,2977.78
009545,4150.0,3688.89
009546,900.0,800.0
009547,3350.0,2977.78
009548,900.0,800.0
009549,3350.0,2977.78
009550,2550.0,2266.67
009560,500.0,527.78
009561,500.0,527.78
009562,500.0,527.78
009563,500.0,527.78
009564,500.0,527.78
009565,500.0,527.78
009567,500.0,527.78
009568,500.0,527.78
009569,500.0,527.78
009570,500.0,527.78
009571,500.0,527.78
009573,500.0,527.78
009574,500.0,527.78
009575,500.0,527.78
009576,500.0,527.78
009577,500.0,527.78
009578,500.0,527.78
009579,500.0,527.78
009580,500.0,527.78
009584,5200.0,3755.6
009596,5990.91,5325.26
009612,5990.91,5325.26
009617,540.91,480.82
00V7590,0.0,55.0
FA4115,300.0,280.0
FA3105-L,252.0,236.0
01-0397,180.91,132.4
01-0437,205.0,145.95
PEOPLECOUNTER,395.0,369.0
01147-031,440.0,375.0
S117464,734.0,678.0
01147-111,43.0,39.0
T8129-E,474.0,443.0
T91M47,94.0,87.0
T94B02D-10PK,347.0,324.0
T91B47-410MM,157.0,146.0
T91B47-150MM,141.0,132.0
01169-001,268.0,247.0
PS24240WPS,395.0,369.0
T94P01L,173.0,161.0
01175-001,46.0,43.0
Q35CLEARDOME,347.0,324.0
T99ILLBRKT,347.0,324.0
RJ12,62.0,57.0
T94B02D-BLK,62.0,57.0
T91B53,300.0,280.0
T94S01P,204.0,190.0
T8508,775.0,715.0
T8524,1631.0,1505.0
Q60-E,474.0,438.0
F82A06-5PK,46.0,43.0
T90D20IR-LED,759.0,708.0
T90D20POE-IR,759.0,708.0
T90D30IR-LED,1361.0,1271.0
T90D30POEIR,1361.0,1271.0
T90D40-IRLED,2043.0,1907.0
T90D25W-LED,759.0,708.0
T90D25POE-WLED,759.0,708.0
T90D35 W-LED,1361.0,1271.0
T90D35POE W-LED,1266.0,1182.0
T90MOUNT,62.0,57.0
T90BRKT,78.0,73.0
01221-001,109.0,102.0
01232-001,46.0,43.0
01235-001,62.0,57.0
01239-001,94.0,87.0
T94C01L,78.0,73.0
T94C01M,62.0,57.0
T94C01U,62.0,57.0
9155030,181.0,175.0
9155031,444.0,430.0
9155031B,444.0,430.0
01257-001,109.0,106.0
9155035,216.0,209.0
9155037,163.0,158.0
9155038,74.0,72.0
9155039,41.0,40.0
9155041,406.0,393.0
9155046,558.0,541.0
9155050,35.0,33.0
9155054,36.0,36.0
9155055,48.0,46.0
9155051,40.0,38.0
9155101,1187.0,1095.0
9155101B,1187.0,1095.0
9155101C,2091.0,1929.0
9155101CB,2091.0,1929.0
9155036,1552.0,1432.0
9155045,957.0,927.0
9155047,372.0,360.0
9155011,136.0,132.0
9155011B,136.0,132.0
9155012,154.0,149.0
9155012B,154.0,149.0
9155013,154.0,149.0
9155013B,154.0,149.0
9155014,46.0,44.0
9155015,57.0,56.0
9155016,59.0,57.0
9155021,100.0,96.0
9155021B,100.0,96.0
9155022,127.0,122.0
9155022B,127.0,122.0
9155023,182.0,177.0
9155023B,206.0,200.0
9155061,92.0,89.0
9155062,101.0,99.0
9155063,117.0,114.0
9155064,149.0,144.0
9155065,206.0,200.0
9155066,198.0,191.0
9155067,252.0,244.0
9155301CF,2010.0,1946.0
9155301CS,2106.0,1944.0
9155301CBS,2106.0,1944.0
9155301CBF,2154.0,1987.0
9155017,46.0,44.0
9155068,92.0,89.0
9151101CHRPW,2756.0,2544.0
9151101RPW,2138.0,1973.0
9151101W,1980.0,1827.0
9151101CHW,2693.0,2485.0
9151101KW,2201.0,2032.0
9151101CHKW,2709.0,2499.0
9151102CHRW,2724.0,2514.0
9151102RW,2027.0,1871.0
9151104W,2186.0,2016.0
9151104CHW,2740.0,2528.0
9151011,228.0,221.0
9151018,22.0,21.0
9151001,171.0,165.0
9151002,154.0,149.0
9151010,92.0,89.0
9151005,528.0,511.0
01352-001,198.0,191.0
9152101W,1964.0,1812.0
9152102W,2011.0,1855.0
9152101MW,2011.0,1855.0
9152000,63.0,62.0
9156111CB,1361.0,1256.0
9156020,109.0,106.0
9153101,807.0,745.0
9153102,823.0,759.0
9153101P,838.0,774.0
9153003,144.0,140.0
9137910,154.0,149.0
9134173,10.0,9.0
9134174,10.0,9.0
9159010,262.0,253.0
9159011,271.0,263.0
9159012,36.0,36.0
9159030,171.0,165.0
9159031,171.0,165.0
9159050,306.0,296.0
9159052,73.0,70.0
9134165E,10.0,9.0
9134166E,10.0,9.0
9137410E,506.0,467.0
9137411E,648.0,598.0
9137420E,113.0,109.0
9137421E,578.0,560.0
9137423E,433.0,419.0
9137422E,49.0,48.0
9159014,602.0,583.0
91378380,173.0,167.0
91378382,190.0,184.0
91378382W,190.0,184.0
914421B,902.0,832.0
914421W,902.0,832.0
914422E,1029.0,949.0
01439-001,109.0,102.0
T91G61-GREY,395.0,369.0
T94J01A,395.0,369.0
T91B57-GREY,236.0,220.0
01448-001,474.0,438.0
T8504-E,2217.0,2046.0
T94V01C,173.0,161.0
T94T02D,94.0,87.0
01463-001,141.0,132.0
01464-001,78.0,73.0
01467-001,141.0,132.0
T8643,442.0,413.0
TAMRON-5MP 8-50MM,395.0,369.0
T91B57 100-410MM,204.0,190.0
TX30 1450MM,78.0,73.0
TX30 570MM,62.0,57.0
T91B67,173.0,161.0
01474-001,141.0,132.0
9154005,73.0,70.0
9154004,55.0,54.0
T8645,870.0,812.0
128GBCARD-1P,94.0,87.0
01496-001,94.0,87.0
A1601,1203.0,1123.0
48VDC 90W,173.0,161.0
01509-001,94.0,87.0
01512-001,46.0,43.0
T94N01D,157.0,146.0
T91R61,204.0,190.0
9155051B,40.0,38.0
01525-001,92.0,89.0
9154100,664.0,613.0
9137424E,743.0,720.0
01534-001,173.0,161.0
01535-001,13787.0,12874.0
01537-001,1187.0,1108.0
01538-001,1900.0,1774.0
01539-001,1900.0,1774.0
01540-001,1266.0,1182.0
01541-001,2059.0,1923.0
01542-001,5546.0,5179.0
01543-001,2059.0,1923.0
01544-001,3327.0,3106.0
01545-001,8557.0,7989.0
01548-001,204.0,190.0
01549-001,204.0,190.0
9151007,989.0,958.0
01551-001,25.0,24.0
01552-001,46.0,43.0
C8210,743.0,686.0
T8351-MKII 3.5MM,173.0,161.0
T8355,220.0,206.0
D2110-VE,2915.0,2689.0
01566-001,62.0,57.0
01567-001,109.0,102.0
EXCAMXF,1900.0,1774.0
01570-001,1900.0,1774.0
XFQ1785,18067.0,16671.0
LPRVLICENSE,854.0,798.0
DEV MICROPHONE A,46.0,43.0
EXT CABLE B 5M,30.0,29.0
01590-001,30.0,29.0
01600-001,46.0,43.0
0160-050,71.0,67.0
0160-060,87.0,81.0
01602-001,94.0,87.0
01603-001,94.0,87.0
01608-001,141.0,132.0
T91A23 4P,141.0,132.0
01621-001,78.0,73.0
01622-001,109.0,102.0
TP3801-BLK-4P,141.0,132.0
01625-001,173.0,161.0
TP3802-E-CLR-4P,204.0,190.0
F92A01-BLK,173.0,161.0
01631-001,157.0,146.0
T8504-R,1266.0,1168.0
9155901,108.0,105.0
9155902C,71.0,69.0
9155902,79.0,77.0
9155903,98.0,95.0
9155905,143.0,138.0
9155906,71.0,69.0
9155907,63.0,62.0
9155908,63.0,62.0
9155909,55.0,54.0
9155910,71.0,69.0
9155911,87.0,84.0
9155913,111.0,107.0
9151901,48.0,46.0
9151902,103.0,100.0
9151903,25.0,25.0
9151904,241.0,233.0
9151906,40.0,38.0
9151915,35.0,33.0
9151916,48.0,46.0
9151917,48.0,46.0
9151918,55.0,54.0
9151919,63.0,62.0
PS24 480W,506.0,473.0
128GB10P,1569.0,1448.0
M7104,506.0,473.0
P7304,743.0,686.0
P5655-E,3010.0,2811.0
01686-001,141.0,132.0
01687-001,94.0,87.0
01690-001,474.0,443.0
P13 EXT A,78.0,73.0
01693-001,78.0,73.0
914423E,168.0,163.0
91378401,617.0,569.0
91378401WH,617.0,569.0
91378800,44.0,43.0
01706-001,78.0,73.0
01714-001,16.0,14.0
01717-001,62.0,57.0
01726-001,426.0,398.0
01727-001,712.0,664.0
9151031S,502.0,486.0
9151907,101.0,99.0
9151908,49.0,48.0
9151909,35.0,33.0
9151910,214.0,207.0
9151911,152.0,147.0
9151912,185.0,179.0
9151913,157.0,152.0
9151914,198.0,191.0
91378363,506.0,467.0
TM3101,78.0,73.0
01743-001,62.0,57.0
01748-001,62.0,57.0
Q6075,4547.0,4195.0
Q6075-E-NM,5149.0,4752.0
